gene name	list of shared diseases
TMTC1	"Lung Neoplasms;""Diabetes Mellitus, Type 4"";Chronic Disease;Menstruation Disturbances;"
MYH9	"Bone Neoplasms;Varicose Veins;Hemorrhoids;""Tachycardia, Sinoatrial Nodal Reentry"";Umbilical cord ulceration and intestinal atresia;Dental Caries;Torticollis;Periapical Diseases;Optic Atrophy;""Diabetes Mellitus, Type 5"";Nail Diseases;Respiratory Tract Neoplasms;""Diabetes Mellitus, Type 4"";Chronic Disease;Sprains and Strains;Uterine Cervical Diseases;Knee Dislocation;"
TRIM2	Cholangitis;Periodontitis;Myelodysplastic-Myeloproliferative Diseases;Chronic Disease;
LRP1B	"Periapical Abscess;Delirium;Diaphragmatic Hernia;""Rheumatoid Arthritis, Systemic Juvenile"";Gastrointestinal Hemorrhage;Skin Neoplasms;Feeding and Eating Disorders;Sexual and Gender Disorders;Mental Disorders;Menstruation Disturbances;Breast Neoplasms;Periapical Diseases;Alopecia Areata;Erectile Dysfunction;Ovarian Cysts;Alzheimer Disease;Chronic Disease;Neck Pain;Esophageal Motility Disorders;""Keratosis, Actinic"";"
LOC63930	Failure to Thrive;
C14orf102	"Uterine Neoplasms;Urinary Bladder Neck Obstruction;Prostatitis;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";""Cardiomyopathy, Dilated"";Peripheral Vascular Diseases;Jaundice;"
QPCTL	Myopia;Chronic Disease;Hypernatremia;
EPHA10	"Cholecystitis;Back Pain;Chronic Disease;""Genital Neoplasms, Male"";Thrombocytopenia;Periapical Abscess;Atrial flutter;"
GRAMD1B	"Iron Metabolism Disorders;Chronic Disease;""Leukemia, Lymphoid"";Spinal Stenosis;Leukemia;Spinal Cord Diseases;Jaw Diseases;Biliary cirrhosis;Autonomic Nervous System Diseases;"
C5orf56	"Gastrointestinal Diseases;Endometriosis;Rosacea;Corneal Opacity;""Phobia, Specific"";Abdominal pain;Chronic Disease;Bronchiectasis;Seborrhea-Like Dermatitis with Psoriasiform Elements;"
TSLP	"Delirium;Colonic Neoplasms;Adjustment Disorders;Chronic Disease;""Leukemia, Lymphoid"";Otosclerosis;Gynecomastia;Lymphadenitis;Torsion dystonia with onset in infancy;Hypoventilation;"
NIN	"Leukemia, Lymphoid;Chronic Disease;Prostatitis;Retinal Diseases;Inflammatory Bowel Disease;Polycystic Ovarian Disease due to 17-Ketosteroid Reductase Deficiency;Menstruation Disturbances;""Menopause, Premature"";"
SLC34A1	Varicose Veins;Knee Dislocation;Atrial flutter;Urticaria;Corneal Opacity;Endocrine Gland Neoplasms;
TNPO3	"Rheumatic Fever;Iron-Refractory Iron Deficiency Anemia;Migraine Disorders;Heartburn;Paraproteinemias;Absent breasts and nipples;""Rheumatoid Arthritis, Systemic Juvenile"";Ascites;"
ANTXR1	"Varicose Veins;Renal Osteodystrophy;Chronic Disease;Kidney Diseases;""Pyogenic arthritis, pyoderma gangrenosum, and acne"";"
RIN2	"Leukemia, Lymphoid;Scleritis;Adrenal Gland Diseases;Chronic Disease;Respiratory System Abnormalities;Atrophic Vaginitis;"
CDT1	"Corneal Dystrophy, Fuchs Endothelial, 3;Chronic Disease;Corneal dystrophy and perceptive deafness;Varicose Veins;""Leukemia, Lymphoid"";Corneal Edema;""Deafness, Conductive, with Malformed External Ear"";Pleurisy;Astigmatism;Amblyopia;Rosacea;Appendicitis;"
FAM131C	"Water-Electrolyte Imbalance;Bronchitis;Asthma;Iatrogenic Disease;Herpes Zoster;Hypovolemia;Menstruation Disturbances;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";"
STX17	Keratitis;Mastoiditis;
NRG1	Conduct Disorder;Migraine Disorders;Stomach Neoplasms;
ARG1	"Hematuria;Umbilical cord ulceration and intestinal atresia;""Neoplasms, Connective Tissue"";Blister;Chronic Disease;Myelodysplastic-Myeloproliferative Diseases;Parkinson Disease;"
ZNF544	Chronic Disease;Uterine Cervical Diseases;Cachexia;Bacteremia;Hypercalcemia;Neutropenia;Breast Neoplasms;Pancytopenia;
BIN2	"Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease;""Carbohydrate Metabolism, Inborn Errors"";""Granuloma, Pyogenic"";Pleurisy;Glossitis;""Pyogenic arthritis, pyoderma gangrenosum, and acne"";Sclerosis;Erectile Dysfunction;"
RAD51B	"Pelvic Inflammatory Disease;Ascites;""Genital Neoplasms, Female"";Ankylosis;Colles' Fracture;Pityriasis;""Rheumatoid Arthritis, Systemic Juvenile"";Iron-Refractory Iron Deficiency Anemia;""Diabetes Mellitus, Type 6"";Tinnitus;""Pneumonia, Bacterial"";Gastrointestinal Diseases;""Goiter, Multinodular "";""Pneumonia, Pneumococcal"";Torticollis;Diverticulosis;"
SYK	Torsion dystonia with onset in infancy;Menstruation Disturbances;
PLA2G6	"Cellulitis;Cholelithiasis;Cholecystitis;""Polydipsia, Psychogenic"";Eye Neoplasms;Pulmonary Heart Disease;"
CDC42BPB	"Hyperlipidemias;Postoperative Nausea and Vomiting;Hypercholesterolemia;Sprains and Strains;Breast Neoplasms;Schizoid Personality Disorder;""Diabetes Mellitus, Type 6"";""Goiter, Multinodular "";""Cholestasis with Gallstone, Ataxia, and Visual Disturbance"";Delirium;""Genital Diseases, Male"";Herpes Zoster;Major Depressive Disorder;"
IGF1	Goiter;Chronic Disease;Odontoma dysphagia syndrome;
NOS2	"Respiratory Tract Neoplasms;Dermatomycoses;""Sleep Apnea, Central"";"
CDH9	Cellulitis;Neoplastic Processes;Mild Cognitive Impairment;
PHF19	Esophageal Motility Disorders;Chronic Disease;Testicular Diseases;Nasal Polyps;Bundle-Branch Block;Basal Ganglia Cerebrovascular Disease;Muscle Weakness;
PZP	"Iatrogenic Disease;Raynaud Disease;Anisometropia;Migraine Disorders;""Conjunctivitis, Allergic"";Choroid Diseases;Speech Disorders;"
SLC14A1	Bone Neoplasms;Breast Neoplasms;Chronic Disease;
SLC17A1	"Iron Metabolism Disorders;Eosinophilia;Uterine Cervical Diseases;Colonic Neoplasms;Corneal Edema;Uterine Neoplasms;Myoclonus;Disorders of other cranial nerves;Skin Neoplasms;Sweat Gland Diseases;Torticollis;Pruritus;""Adrenocortical Hypofunction, Chronic Primary Congenital"";Hyperbilirubinemia;Diverticulitis;Conjunctival Diseases;"
FGF1	"Meningitis;Sebaceous Gland Diseases;Peptic Ulcer;""Diabetes Mellitus, Type 2"";Migraine Disorders;Keratitis;"
TYK2	"Tauopathy and Respiratory Failure;Sexually Transmitted Diseases;Neck Pain;Endocrine Gland Neoplasms;Tricuspid Valve Insufficiency;""Renal Failure, Progressive, with Hypertension"";Aphakia;Water-Electrolyte Imbalance;Hypovolemia;""Gastritis, Atrophic"";Pneumonia;Hemorrhagic Septicemia;""Phobia, Specific"";Dyspareunia;""Acromegaloid features, overgrowth, cleft palate, and hernia"";""Vitamin K-Dependent Clotting Factors, Combined Deficiency Of, 1"";"
STIM2	"Testicular Diseases;Dysmenorrhea;Asthma;Thrombocytopenia;Breast Neoplasms;Eye Neoplasms;Diabetes mellitus;""Diabetes Mellitus, Type 2"";Atherosclerosis;""Menopause, Premature"";"
SLC30A7	"Spermatocele;Chronic Disease;Mental Disorders;Obsessive-Compulsive Disorder;""Phobia, Specific"";""Pyogenic arthritis, pyoderma gangrenosum, and acne"";Absent breasts and nipples;Tobacco Use Disorder;""Liver Diseases, Alcoholic"";Uterine Prolapse;"
CCL21	"Personality Disorders;Optic Neuritis;""Lower Extremity Deformities, Congenital"";""Hyperparathyroidism, Secondary"";Alopecia Areata;Optic Nerve Diseases;Anxiety Disorders;Aphakia;Uterine Cervical Diseases;Tachycardia;Hypotension;Stomach Neoplasms;"
ABCC4	"Renal Osteodystrophy;Heart Septal Defects;Nail Diseases;""Hyperparathyroidism, Secondary"";""Parathyroid Glands, Agenesis Of"";Bone Neoplasms;Skin Neoplasms;Sinusitis;Hyperparathyroidism;Epilepsy;Ovarian Diseases;Myelodysplastic-Myeloproliferative Diseases;Chronic Disease;Heart Valve Diseases;""Corneal Degeneration, Ribbonlike, with Deafness"";"
AKT3	Mink Viral Enteritis;Impetigo;Eye Neoplasms;Hemiplegia;Sacroiliitis;
GPR126	Blister;Colonic Neoplasms;Hematuria;Failure to Thrive;Tonsillitis;Uveitis;
PPARGC1B	Urticaria;
ZBTB17	Retinal Detachment;Blister;Salivary Gland Diseases;Liver Diseases;Retinoschisis;
NOTCH4	"Celiac Disease;""Diabetes Mellitus, Type 4"";""Diabetes Mellitus, Type 2"";""Diabetes Mellitus, Type 6"";Rosacea;""Lupus Erythematosus, Discoid"";Myoclonus;Keratitis;""Diabetes Mellitus, Type 5"";Hyperlipidemias;Tauopathy and Respiratory Failure;Prostatitis;Ventricular Flutter;Barrett Esophagus;Diaphragmatic Hernia;Linear IgA Bullous Dermatosis;Autonomic Nervous System Diseases;""Lower Extremity Deformities, Congenital"";Vitamin B 12 Deficiency;Hypercholesterolemia;""Acromegaloid features, overgrowth, cleft palate, and hernia"";Diabetic Retinopathy;Hematuria;Cellulitis;Hypoglycemia;Tonsillitis;Chronic Disease;""Diabetes Mellitus, Type 7"";Sarcoidosis;""Fractures, Stress"";Testicular Diseases;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";""Lupus Erythematosus, Systemic"";Varicose Veins;""Adrenocortical Hypofunction, Chronic Primary Congenital"";Menstruation Disturbances;Hyponatremia;Gastrointestinal Diseases;Brain Neoplasms;Psoriasis;Lymphadenitis;Odontoma dysphagia syndrome;"
RREB1	"Goiter, Multinodular ;Movement Disorders;Impetigo;Cholecystitis;""Insomnia, Fatal Familial"";""Gait Disorders, Neurologic"";Hyperthyroidism;Drug Resistant Epilepsy;Gastrointestinal Diseases;"
PARD3B	"Abnormalities, Radiation-Induced;Mink Viral Enteritis;Barrett Esophagus;Osteomyelitis;Bacteremia;Diabetes mellitus;Myelodysplastic-Myeloproliferative Diseases;Cellulitis;Granulosa cell tumor of the ovary;"
ZDHHC19	"Chronic Disease;""Heart Failure, Systolic"";Esophageal Motility Disorders;Heart Failure;Trigeminal Nerve Diseases;Sensation Disorders;Atrial flutter;Conduct Disorder;Ascites;Airway Obstruction;Emphysema;"
PARD6B	"Conduct Disorder;Hemorrhagic Disorders;""Diabetes Mellitus, Type 6"";""Acromegaloid features, overgrowth, cleft palate, and hernia"";Diaphragmatic Hernia;Cavernous Malformations of CNS and Retina;Subarachnoid Hemorrhage;Epilepsy;"
CLECL1	"Heartburn;""Pyogenic arthritis, pyoderma gangrenosum, and acne"";""Conjunctivitis, Allergic"";""Influenza, Human"";""Pneumonia, Pneumococcal"";""Genital Neoplasms, Female"";"
ITGA6	"Polydipsia, Psychogenic;""Prostate cancer, familial"";Stomach Neoplasms;"
LRP4	"Sarcoidosis;""Diabetes Mellitus, Type 3"";Heart Septal Defects;Lip Diseases;""Prostate cancer, familial"";Erythema;"
CEP152	"Atherosclerosis;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Epistaxis;Polycystic Ovarian Disease due to 17-Ketosteroid Reductase Deficiency;Ovarian Diseases;Cholesteatoma;Shock;Thrombocytopenia;"
EPHA5	"Hemoptysis;Schizophrenia;Movement Disorders;""Cholestasis with Gallstone, Ataxia, and Visual Disturbance"";Adrenal Gland Diseases;"
EPHA4	Basal Ganglia Cerebrovascular Disease;Eye Neoplasms;Cachexia;Anorexia;
HHLA1	"Diabetes Mellitus, Type 5;"
SF3B4	Pancytopenia;Tympanic Membrane Perforation;Intervertebral Disc Displacement;Tobacco Use Disorder;Cardiomegaly;Spinal Stenosis;Bronchopneumonia;
EPHA1	Chondrocalcinosis;Water-Electrolyte Imbalance;Hyponatremia;Blindness;Dysthymic Disorder;Adjustment Disorders;Endocrine Gland Neoplasms;Schizoid Personality Disorder;
ICAM1	"Menstruation Disturbances;""Phobia, Specific"";Appendiceal Neoplasms;Personality Disorders;Hemorrhagic Disorders;""Prostate cancer, familial"";Cachexia;""Menopause, Premature"";Airway Obstruction;Obsessive-Compulsive Disorder;""Diabetes Mellitus, Type 6"";Appendicitis;""Deafness, Conductive, with Malformed External Ear"";Hematemesis;Otosclerosis;"
BANK1	"Lip Diseases;""Prostate cancer, familial"";Chronic Disease;"
POLN	Jaw Diseases;
SDK2	Respiratory Insufficiency;Uterine Cervical Diseases;Torticollis;Diverticulitis;Tympanic Membrane Perforation;Hammer Toe Syndrome;
KITLG	"Eye Neoplasms;Bile Duct Diseases;Dry Eye Syndromes;""Prostate cancer, familial"";Chronic Disease;Heart Diseases;Angina Pectoris;Esophageal Motility Disorders;Appendicitis;Brain Neoplasms;Hyperventilation;""Cystic Fibrosis with Helicobacter Pylori Gastritis, Megaloblastic Anemia, and Subnormal Mentality"";Salivary Gland Diseases;Cholangitis;"
TRAF3IP1	"Incisional Hernia;""Liver Diseases, Alcoholic"";Vitamin B 12 Deficiency;Hyperlipidemias;"
CDKN1A	"Erectile Dysfunction;Cardiomyopathies;Overweight;""Cardiomyopathy, Dilated"";Obesity;Hypovolemia;Spinal Curvatures;Labyrinthitis;""Corneal Degeneration, Ribbonlike, with Deafness"";Presenile And Senile Dementia;""Diabetes Mellitus, Type 2"";Neoplastic Processes;Kyphosis;"
SLC15A2	"Diabetes Mellitus, Type 6;Osteoarthritis;Torsion dystonia with onset in infancy;"
SLC14A2	"Hernia, Femoral;Asthma;Facial Nerve Diseases;Pulmonary Embolism;""Hypertension, Pregnancy-Induced"";Bile Duct Diseases;Spondylosis;Cellulitis;Nail Diseases;Heart Valve Diseases;Tricuspid Valve Insufficiency;""Conjunctivitis, Allergic"";Exophthalmos;Heart Diseases;Chronic Disease;Speech Disorders;Pulmonary Heart Disease;Disorders of other cranial nerves;Renal Colic;Rosacea;""Diabetes Mellitus, Type 3"";Autonomic Nervous System Diseases;Hyponatremia;Appendicitis;Adenocarcinoma in Situ;"
ELMO1	"Drug Resistant Epilepsy;Glomerulonephritis;Sleep disorders;Parkinson Disease;Delirium;Iron Metabolism Disorders;""Cardiomyopathy, Dilated"";Sleep Apnea Syndromes;Alopecia Areata;""Corneal Dystrophy, Fuchs Endothelial, 3"";Digestive System Neoplasms;Bundle-Branch Block;Otitis Media;Asthma;Strabismus;Cardiomyopathies;Adjustment Disorders;Pleurisy;""Vitamin K-Dependent Clotting Factors, Combined Deficiency Of, 1"";Restless Legs Syndrome;Major Depressive Disorder;Spermatocele;""Depression, Postpartum"";Gastrointestinal Diseases;Corneal Edema;Spondylosis;Breast Neoplasms;"
CDK2	Restless Legs Syndrome;Cellulitis;Optic Neuritis;
SLC12A2	Breast Diseases;Chronic Disease;Eye Neoplasms;Duodenitis;
SOX5	"Candidiasis;Dyspepsia;Hematuria;Hearing Loss;Retinal Detachment;Epilepsy;Prurigo;Pneumoconiosis;Testicular Diseases;Phosphorus Metabolism Disorders;Stomach Diseases;""Lupus Erythematosus, Systemic"";Alcohol-Related Disorders;Gastrointestinal Diseases;""Conjunctivitis, Allergic"";""Lupus Erythematosus, Discoid"";"
C11orf93	"Granuloma, Pyogenic;""Tachycardia, Sinoatrial Nodal Reentry"";Torticollis;"
BCAP29	"Alcoholism;Alcohol-Related Disorders;Chronic Disease;Aortic Aneurysm;Myopia;""Prostate cancer, familial"";Brain Neoplasms;"
MYH6	Chronic Disease;Hepatomegaly;Strabismus;Hematuria;
CD180	"Liver Diseases, Alcoholic;Bronchitis;Spinal Curvatures;Amblyopia;Kyphosis;Uterine Cervical Neoplasms;Tongue Diseases;Tobacco Use Disorder;Periapical Abscess;Cervical Intraepithelial Neoplasia;Hypoglycemia;"
NKX2-1	Hematuria;Prostatitis;Uterine Neoplasms;Uterine Cervical Diseases;Dysthymic Disorder;
ANO6	"Genu Varum;Asthma;Uterine Cervical Neoplasms;""Tooth Eruption, Ectopic"";Prostatitis;Sebaceous Gland Diseases;"
EFCAB4B	"Hypothyroidism;Postoperative Nausea and Vomiting;Periostitis;Prostatitis;Water-Electrolyte Imbalance;Aortic Aneurysm;Corneal Diseases;Hypertrophy;""Diabetes Mellitus, Type 2"";Spinal Cord Diseases;Pleurisy;Liver Diseases;Spondylolisthesis;"
QSOX2	"Intracranial Hemorrhages;Ovarian Diseases;Intervertebral Disc Displacement;""Corneal Dystrophy, Fuchs Endothelial, 3"";""Pulmonary Hypertension, Primary, Autosomal Recessive"";Hallux Rigidus;"
TYMP	"Gynecomastia;""Hypertension, Pregnancy-Induced"";Cystic Kidney Disease;Candidiasis;"
IRGM	"Knee Dislocation;""Mastocytosis, cutaneous, with short stature, conductive hearing loss and microtia"";Colonic Neoplasms;Parkinson Disease;Rhabdomyolysis;"
FAM174B	Impetigo;Chronic Disease;Hyponatremia;Pancytopenia;
SCN7A	Hypothyroidism;Periapical Abscess;Dyspepsia;Epistaxis;Tobacco Use Disorder;Cellulitis;Intracranial Hemorrhages;Glucose Intolerance;
MCM8	Neoplastic Processes;Mink Viral Enteritis;Otitis Media;Feeding and Eating Disorders;Sciatica;Intracranial Hemorrhages;Alopecia;Osteitis Deformans;Ankylosis;Testicular Hydrocele;
LAMB1	"Choroid Diseases;Kidney Diseases;Hypotension;Hallucinations;""Conjunctivitis, Allergic"";Barrett Esophagus;Retinoschisis;Linear IgA Bullous Dermatosis;"
SAFB2	Optic Atrophy;Insect Bites and Stings;Hematemesis;Hereditary Breast and Ovarian Cancer Syndrome;Tongue Diseases;
PADI6	Esophageal Motility Disorders;Purpura;Thrombocytopenia;Chronic Disease;Duodenitis;Endocarditis;Hemiplegia;
PADI4	Mastoiditis;Bursitis;Candidiasis;Osteomyelitis;Keratoconjunctivitis Sicca;Cystic Kidney Disease;Cystitis;Hyperlipidemias;Endocrine Gland Neoplasms;Erythema;
IL1RL1	Chronic Disease;Migraine with Aura;Asthma;Gingivitis;Behcet Syndrome;Sarcoidosis;Endometriosis;
SFPQ	"Bacteremia;""Renal Failure, Progressive, with Hypertension"";Chronic Disease;Hemorrhagic Septicemia;Otitis Externa;""Spondylitis, Ankylosing"";Water-Electrolyte Imbalance;Spondylosis;Fever of Unknown Origin;Phosphorus Metabolism Disorders;Crohn Disease;""Anemia, Pernicious"";Schizophrenia;Rosacea;""Leukemia, Lymphoid"";Pityriasis;Nail Diseases;""Diabetes Mellitus, Type 4"";Hypertensive Retinopathy;Dysthymic Disorder;Psoriasis;Cellulitis;Neck Pain;Sacroiliitis;"
NAALADL2	"Schizophrenia;Brain Neoplasms;Multiple Sclerosis;Retinal Drusen;Macular Degeneration;Vitamin D Deficiency;Pruritus;Spondylolisthesis;""Carbohydrate Metabolism, Inborn Errors"";Obsessive-Compulsive Disorder;Chronic Disease;Heart Valve Diseases;"
HIP1	"Hepatitis C;Prostatitis;Gastrointestinal Hemorrhage;Liver Diseases;Skin Neoplasms;Psoriasis;Bundle-Branch Block;Dislocations;Torticollis;""Reflex, Abnormal"";Sexual and Gender Disorders;Jaundice;Hallucinations;Testicular Diseases;"
ZNF341	Phosphorus Metabolism Disorders;Urinary Bladder Neoplasms;Out-of-Hospital Cardiac Arrest;Skin Neoplasms;Neck Pain;
LPHN1	"Child Development Disorders, Pervasive;Uterine Prolapse;Faciogenital Dysplasia with Attention Deficit-Hyperactivity Disorder;Peptic Ulcer;Spinal Curvatures;Chronic Disease;""Pulmonary Hypertension, Primary, Autosomal Recessive"";""Diabetes Mellitus, Type 6"";"
THSD4	"Gingivitis;Chronic Disease;""Diabetes Mellitus, Type 5"";""Carbohydrate Metabolism, Inborn Errors"";"
ATP8B1	"Schizophrenia;""Renal Failure, Progressive, with Hypertension"";Vitamin B 12 Deficiency;Diplopia;Chronic Disease;""Laryngeal Atresia, Encephalocele, and Limb Deformities"";Contracture;""Diabetes Mellitus, Type 6"";Hypoglycemia;"
STARD9	"Chronic Disease;Constipation;""Genital Neoplasms, Male"";Cardiomyopathies;Cervical Intraepithelial Neoplasia;"
MTHFD1	"Multiple Sclerosis;Cardiomyopathies;""Rheumatoid Arthritis, Systemic Juvenile"";""Cardiomyopathy, Dilated"";Paranoid Disorders;Sinusitis;"
ATP1B1	Movement Disorders;Shock;Nail Diseases;Mink Viral Enteritis;
EHBP1L1	"Urethritis;""Influenza, Human"";Alzheimer Disease;""Pancreatic cancer, adult"";"
FGF5	"Iron Metabolism Disorders;""Renal Failure, Progressive, with Hypertension"";Chronic Disease;Choroid Diseases;Parkinson Disease;Jaundice;Melanoma;"
EEFSEC	Subarachnoid Hemorrhage;Corneal dystrophy and perceptive deafness;Overweight;Failure to Thrive;Hypothyroidism;Glomerulonephritis;Obesity;
PHLDB1	Esophageal Neoplasms;Emphysema;Bronchitis;Periapical Diseases;Chronic Disease;Hallucinations;Optic Neuritis;
CST5	Umbilical cord ulceration and intestinal atresia;Skin Neoplasms;Schizophrenia;Uterine Cervical Neoplasms;Testicular Diseases;Uterine Cervical Diseases;Sleep disorders;
ABCG2	"Gout;""Mastocytosis, cutaneous, with short stature, conductive hearing loss and microtia"";Chronic Disease;""Glaucoma 1, Open Angle, A"";Tympanic Membrane Perforation;Glaucoma;Hearing Loss;Blister;"
ABCG1	Bursitis;Speech Disorders;Atrial flutter;
CIITA	"Pneumonia, Pneumococcal;""Pneumonia, Bacterial"";Cystitis;Chronic Disease;Pulmonary Fibrosis;Asthma;"
ABCG5	"Cholelithiasis;Lymphadenitis;Multiple Sclerosis;""Tooth Eruption, Ectopic"";Cholesteatoma;Mink Viral Enteritis;"
CCL4L2	Mental Disorders;Postoperative Nausea and Vomiting;Herpes Zoster;Hypovolemia;Tauopathy and Respiratory Failure;Bone Neoplasms;Fever of Unknown Origin;Pediatric ulcerative colitis;Chronic Disease;
MICB	"Psoriasis;Atrial Fibrillation;Atrial Flutter;Scoliosis;""Diabetes Mellitus, Type 4"";Sciatica;Thyrotoxicosis;Hematuria;Hereditary Breast and Ovarian Cancer Syndrome;Linear IgA Bullous Dermatosis;""Intestinal polyposis, osteomas, sebaceous cysts"";Chronic Disease;""Diabetes Mellitus, Type 2"";Out-of-Hospital Cardiac Arrest;Adjustment Disorders;""Genital Neoplasms, Female"";Jaw Diseases;Cardiomegaly;Neck Pain;Gastrointestinal Diseases;""Diabetes Mellitus, Type 5"";Pleurisy;""Fractures, Stress"";Sebaceous Gland Diseases;Hypoglycemia;Warts;Diverticulitis;Polyarteritis Nodosa;""Vitamin K-Dependent Clotting Factors, Combined Deficiency Of, 1"";""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Lyme Disease;""Deafness, Conductive, with Malformed External Ear"";"
USP12	"Cystic Fibrosis with Helicobacter Pylori Gastritis, Megaloblastic Anemia, and Subnormal Mentality;Respiratory Insufficiency;"
TMEM175	"Cervical Intraepithelial Neoplasia;""Fractures, Stress"";Glycosuria;Uterine Cervical Neoplasms;""Menopause, Premature"";""Tooth Eruption, Ectopic"";Retinoschisis;Digestive System Diseases;Pulmonary Heart Disease;Cystitis;"
PKDCC	Testicular Hydrocele;Myelodysplastic-Myeloproliferative Diseases;Polycythemia Vera;Chronic Disease;Otitis Externa;Pneumoconiosis;Temporomandibular Joint Disorders;Pleurisy;Pruritus;
ENG	"Heart Septal Defects;""Glaucoma 1, Open Angle, A"";Impetigo;Rhabdomyolysis;"
KIAA1462	"Aplastic anemia, idiopathic;""Lower Extremity Deformities, Congenital"";Herpes Zoster;Thyrotoxicosis;Scoliosis;Labyrinthitis;""Amino Acid Transport Disorders, Inborn"";"
GIT1	"Spinal Stenosis;Intervertebral disc disease;Erectile Dysfunction;Peripheral Vascular Diseases;""Dermatitis, Seborrheic"";"
ASH2L	Varicose Veins;Retinal Detachment;Bronchopneumonia;
NRIP1	Anisometropia;Periodontitis;Chronic Disease;
RFC3	Dislocations;Hearing Loss;Colonic Neoplasms;
ULK4	"Aortic Aneurysm;Brain Neoplasms;Scoliosis;""Keratosis, Seborrheic"";Intracranial Hemorrhages;Spinal Curvatures;"
KCNB2	"Parasomnias;Schizophrenia;Scleritis;Pancytopenia;Dysuria;Hematemesis;Myoclonus;""Aplastic anemia, idiopathic"";""Glaucoma 1, Open Angle, A"";Skin Neoplasms;Heartburn;Dry Eye Syndromes;"
PPIL6	"Schizophrenia;""Keratosis, Seborrheic"";Water-Electrolyte Imbalance;Hypotension;Phosphorus Metabolism Disorders;Chronic Disease;Hypernatremia;""Keratosis, Actinic"";Aortic Aneurysm;Sarcoidosis;Personality Disorders;"
KIAA1109	"Orbital Cellulitis;Otitis Media;Polyarteritis Nodosa;Hypertrophy;Atrial flutter;Pericarditis;Herpes Simplex;""Diabetes Mellitus, Type 5"";Rosacea;""Diabetes Mellitus, Type 6"";Anxiety Disorders;""Gait Disorders, Neurologic"";Cellulitis;""Rheumatoid Arthritis, Systemic Juvenile"";Urinary Retention;Vitamin D Deficiency;"
NFKBIA	Mycoses;Crohn Disease;Uterine Cervical Neoplasms;Diaphragmatic Hernia;
EDA	"Keratoconjunctivitis Sicca;Osteitis Deformans;""Rheumatoid Arthritis, Systemic Juvenile"";""Fractures, Stress"";""Intestinal polyposis, osteomas, sebaceous cysts"";Hyperventilation;Urinary Bladder Neck Obstruction;Proteinuria;Optic Nerve Diseases;Paget Disease Of Bone 4;Herpes Zoster;""Cardiac Arrhythmia, Ankyrin-B-Related"";Pharyngitis;""Abnormalities, Radiation-Induced"";Gastroenteritis;Chronic Disease;"
SYCP2L	"Idiopathic orthostatic hypotension;""Pneumonia, Bacterial"";""Pneumonia, Pneumococcal"";Thyrotoxicosis;Alcoholism;Gastrointestinal Diseases;Alcohol-Related Disorders;"
GDA	"Hypertension, Pregnancy-Induced;""Goiter, Multinodular "";Thyrotoxicosis;Sepsis;Hemorrhoids;"
SMAD7	"Endocarditis;Uveitis;""Pneumonia, Viral"";Uterine Neoplasms;Macular Degeneration;Retinal Diseases;Sprains and Strains;"
SMAD3	"Schizophrenia;Adjustment Disorders;Anxiety Disorders;Digestive System Diseases;Mood Disorders;""Depression, Postpartum"";Bundle-Branch Block;""Adrenocortical Hypofunction, Chronic Primary Congenital"";Pulmonary Embolism;"
BMP4	"Temporomandibular Joint Disorders;Scleritis;""Mastocytosis, cutaneous, with short stature, conductive hearing loss and microtia"";Tuberculosis;Gastroparesis;Conduct Disorder;Mink Viral Enteritis;Umbilical cord ulceration and intestinal atresia;Tonsillitis;"
HAS3	"Carcinoma, Renal Cell;Kidney Neoplasms;Urticaria;"
CDK6	"Failure to Thrive;Faciogenital Dysplasia with Attention Deficit-Hyperactivity Disorder;""Acne, Adult"";Eye Infections;Uveitis;""Child Development Disorders, Pervasive"";Chronic Disease;Sunburn;Basal Ganglia Cerebrovascular Disease;""Hyperparathyroidism, Secondary"";Varicose Veins;Pruritus;Polymyalgia Rheumatica;Ventricular Flutter;Respiratory System Abnormalities;"
LSM1	"Goiter, Multinodular ;Hypothyroidism;Cardiac Conduction Defect;"
AP1G2	Meniere Disease;
TBX3	"Bipolar Disorder;Tension-Type Headache;Hydronephrosis;""Sleep Apnea, Central"";Digestive System Diseases;Pericarditis;Spinal Stenosis;Angina Pectoris;Mild Cognitive Impairment;""Deafness, Conductive, with Malformed External Ear"";Astigmatism;"
EDNRA	"Carcinoma, Renal Cell;Esophageal Motility Disorders;Blindness;Kidney Neoplasms;Dry Eye Syndromes;Inflammatory Bowel Disease;Crohn Disease;Skin Neoplasms;"
RASGRF1	"Mental Disorders;Aphasia;""Diabetes Mellitus, Type 3"";Intracranial Hemorrhages;Jaw Diseases;Eye Neoplasms;Periodontitis;"
